timestamp,elapsed_s,linear_x,angular_z
1773717194.455,9.55,0.2000,0.0000
1773717194.498,9.60,0.2000,0.0000
1773717194.520,9.62,0.2000,0.0000
1773717194.558,9.66,0.2000,0.0000
1773717194.599,9.70,0.2000,0.0000
1773717194.640,9.74,0.2000,0.0000
1773717194.671,9.77,0.2000,0.0000
1773717194.709,9.81,0.2000,0.0000
1773717194.741,9.84,0.2000,0.0000
1773717194.778,9.88,0.2000,0.0000
1773717194.809,9.91,0.2000,0.0000
1773717194.841,9.94,0.2000,0.0000
1773717194.881,9.98,0.2000,0.0000
1773717194.924,10.02,0.2000,0.0000
1773717194.945,10.04,0.2000,0.0000
1773717194.977,10.08,0.2000,0.0000
1773717195.028,10.13,0.2000,0.0000
1773717195.063,10.16,0.2000,0.0000
1773717195.106,10.20,0.2000,0.0000
1773717195.121,10.22,0.2000,0.0000
1773717195.158,10.26,0.2000,0.0000
1773717195.190,10.29,0.2000,0.0000
1773717195.221,10.32,0.2000,0.0000
1773717195.272,10.37,0.2000,0.0000
1773717195.300,10.40,0.2000,0.0000
1773717195.339,10.44,0.2000,0.0000
1773717195.363,10.46,0.2000,0.0000
1773717195.400,10.50,0.2000,0.0000
1773717195.445,10.54,0.2000,0.0000
1773717195.466,10.56,0.2000,0.0000
1773717195.509,10.61,0.2000,0.0000
1773717195.555,10.65,0.2000,0.0000
1773717195.591,10.69,0.2000,0.0000
1773717195.644,10.74,0.2000,0.0000
1773717195.675,10.77,0.2000,0.0000
1773717195.702,10.80,0.2000,0.0000
1773717195.721,10.82,0.2000,0.0000
1773717195.780,10.88,0.2000,0.0000
1773717195.782,10.88,0.2000,0.0000
1773717195.821,10.92,0.2000,0.0000
1773717195.860,10.96,0.2000,0.0000
1773717195.909,11.01,0.2000,0.0000
1773717195.965,11.06,0.2000,0.0000
1773717195.991,11.09,0.2000,0.0000
1773717196.013,11.11,0.2000,0.0000
1773717196.051,11.15,0.2000,0.0000
1773717196.096,11.20,0.2000,0.0000
1773717196.128,11.23,0.2000,0.0000
1773717196.174,11.27,0.2000,0.0000
1773717196.209,11.31,0.2000,0.0000
1773717196.242,11.34,0.2000,0.0000
1773717196.282,11.38,0.2000,0.0000
1773717196.329,11.43,0.2000,0.0000
1773717196.352,11.45,0.2000,0.0000
1773717196.387,11.49,0.2000,0.0000
1773717196.411,11.51,0.2000,0.0000
1773717196.469,11.57,0.2000,0.0000
1773717196.499,11.60,0.2000,0.0000
1773717196.525,11.62,0.2000,0.0000
1773717196.580,11.68,0.2000,0.0000
1773717196.610,11.71,0.2000,0.0000
1773717196.648,11.75,0.2000,0.0000
1773717196.686,11.78,0.2000,0.0000
1773717196.724,11.82,0.2000,0.0000
1773717196.778,11.88,0.2000,0.0000
1773717196.815,11.91,0.2000,0.0000
1773717196.838,11.94,0.2000,0.0000
1773717196.903,12.00,0.2000,0.0000
1773717196.937,12.04,0.1400,0.2500
1773717196.973,12.07,0.2000,0.0000
1773717197.005,12.10,0.2000,0.0000
1773717197.052,12.15,0.2000,0.0000
1773717197.093,12.19,0.2000,0.0000
1773717197.122,12.22,0.1400,0.2500
1773717197.207,12.31,0.2000,0.0000
1773717197.280,12.38,0.2000,0.0000
1773717197.325,12.42,0.2000,0.0000
1773717197.367,12.47,0.2000,0.0000
1773717197.400,12.50,0.2000,0.0000
1773717197.446,12.55,0.2000,0.0000
1773717197.482,12.58,0.2000,0.0000
1773717197.519,12.62,0.2000,0.0000
1773717197.549,12.65,0.2000,0.0000
1773717197.592,12.69,0.2000,0.0000
1773717197.644,12.74,0.2000,0.0000
1773717197.678,12.78,0.2000,0.0000
1773717197.730,12.83,0.2000,0.0000
1773717197.773,12.87,0.2000,0.0000
1773717197.804,12.90,0.2000,0.0000
1773717197.847,12.95,0.2000,0.0000
1773717197.895,12.99,0.2000,0.0000
1773717197.932,13.03,0.2000,0.0000
1773717197.970,13.07,0.2000,0.0000
1773717198.026,13.13,0.2000,0.0000
1773717198.048,13.15,0.2000,0.0000
1773717198.110,13.21,0.2000,0.0000
1773717198.148,13.25,0.2000,0.0000
1773717198.183,13.28,0.2000,0.0000
1773717198.216,13.31,0.2000,0.0000
1773717198.252,13.35,0.2000,0.0000
1773717198.300,13.40,0.2000,0.0000
1773717198.331,13.43,0.2000,0.0000
1773717198.382,13.48,0.2000,0.0000
1773717198.418,13.52,0.2000,0.0000
1773717198.451,13.55,0.2000,0.0000
1773717198.480,13.58,0.2000,0.0000
1773717198.532,13.63,0.2000,0.0000
1773717198.556,13.65,0.2000,0.0000
1773717198.623,13.72,0.2000,0.0000
1773717198.649,13.75,0.2000,0.0000
1773717198.692,13.79,0.2000,0.0000
1773717198.762,13.86,0.2000,0.0000
1773717198.784,13.88,0.2000,0.0000
1773717198.809,13.91,0.2000,0.0000
1773717198.852,13.95,0.2000,0.0000
1773717198.909,14.01,0.2000,0.0000
1773717198.938,14.04,0.2000,0.0000
1773717198.984,14.08,0.2000,0.0000
1773717199.022,14.12,0.2000,0.0000
1773717199.059,14.16,0.2000,0.0000
1773717199.085,14.18,0.2000,0.0000
1773717199.117,14.22,0.2000,0.0000
1773717199.161,14.26,0.2000,0.0000
1773717199.200,14.30,0.2000,0.0000
1773717199.250,14.35,0.2000,0.0000
1773717199.294,14.39,0.2000,0.0000
