timestamp,elapsed_s,num_detections,det_classes,det_confidences,det_areas,det_center_xs,det_center_ys
1773717230.878,45.98,0,,,,,
1773717230.932,46.03,0,,,,,
1773717230.961,46.06,0,,,,,
1773717231.003,46.10,0,,,,,
1773717231.043,46.14,0,,,,,
1773717231.093,46.19,0,,,,,
1773717231.135,46.23,0,,,,,
1773717231.162,46.26,0,,,,,
1773717231.199,46.30,0,,,,,
1773717231.251,46.35,0,,,,,
1773717231.289,46.39,0,,,,,
1773717231.320,46.42,0,,,,,
1773717231.375,46.47,0,,,,,
1773717231.390,46.49,0,,,,,
1773717231.438,46.54,0,,,,,
1773717231.479,46.58,0,,,,,
1773717231.510,46.61,0,,,,,
1773717231.553,46.65,0,,,,,
1773717231.605,46.70,0,,,,,
1773717231.623,46.72,0,,,,,
1773717231.679,46.78,0,,,,,
1773717231.721,46.82,0,,,,,
1773717231.764,46.86,0,,,,,
1773717231.805,46.90,0,,,,,
1773717231.827,46.93,0,,,,,
1773717231.865,46.96,0,,,,,
1773717231.900,47.00,0,,,,,
1773717231.930,47.03,0,,,,,
1773717231.964,47.06,0,,,,,
1773717231.995,47.09,0,,,,,
1773717232.032,47.13,0,,,,,
1773717232.072,47.17,0,,,,,
1773717232.118,47.22,0,,,,,
1773717232.160,47.26,0,,,,,
1773717232.206,47.31,0,,,,,
1773717232.262,47.36,0,,,,,
1773717232.303,47.40,0,,,,,
1773717232.346,47.44,0,,,,,
1773717232.397,47.50,0,,,,,
1773717232.470,47.57,0,,,,,
1773717232.488,47.59,0,,,,,
1773717232.530,47.63,0,,,,,
1773717232.583,47.68,0,,,,,
1773717232.644,47.74,0,,,,,
1773717232.680,47.78,0,,,,,
1773717232.750,47.85,0,,,,,
1773717232.794,47.89,0,,,,,
1773717232.831,47.93,0,,,,,
1773717232.891,47.99,0,,,,,
1773717232.920,48.02,0,,,,,
1773717232.972,48.07,0,,,,,
1773717233.015,48.11,0,,,,,
1773717233.048,48.15,0,,,,,
1773717233.096,48.19,0,,,,,
1773717233.159,48.26,0,,,,,
1773717233.213,48.31,1,person,0.440,63235,526.8,141.8
1773717233.268,48.37,1,person,0.297,25272,593.4,139.4
1773717233.328,48.43,0,,,,,
1773717233.359,48.46,0,,,,,
1773717233.396,48.50,0,,,,,
1773717233.423,48.52,0,,,,,
1773717233.465,48.56,0,,,,,
1773717233.523,48.62,0,,,,,
1773717233.560,48.66,0,,,,,
1773717233.594,48.69,0,,,,,
1773717233.632,48.73,0,,,,,
1773717233.655,48.75,0,,,,,
1773717233.697,48.80,0,,,,,
1773717233.741,48.84,0,,,,,
1773717233.775,48.87,0,,,,,
1773717233.814,48.91,0,,,,,
1773717233.847,48.95,1,person,0.307,10360,620.8,138.5
1773717233.885,48.98,0,,,,,
1773717233.928,49.03,1,person,0.300,22280,599.0,139.8
1773717233.958,49.06,1,person,0.271,28684,587.5,140.3
1773717233.990,49.09,2,person|person,0.306|0.261,61383|37542,530.2|572.0,141.8|141.0
1773717234.036,49.14,0,,,,,
1773717234.061,49.16,0,,,,,
1773717234.098,49.20,0,,,,,
1773717234.120,49.22,0,,,,,
1773717234.185,49.28,0,,,,,
1773717234.205,49.30,0,,,,,
1773717234.250,49.35,0,,,,,
1773717234.288,49.39,0,,,,,
1773717234.317,49.42,0,,,,,
1773717234.359,49.46,0,,,,,
